;tramo;tipo_tramo;punto_idx;punto_id;x_cm;y_cm;z_cm;dist_seg_cm;dist_acum_m;diametro_m_excel;escenario_marea
128;D-E;cerrado;3;Punto 3;-9833,7;-63,39999999999999;529,0;235,1504199443421;6,551504199443421;0,2086;Base
129;D-E;cerrado;4;Punto 4;-10097,9;-101,8;269,6;372,2426090602733;10,27393029004615;0,2086;Base
130;D-E;cerrado;5;Punto 5;-10144,7;-135,7;-98,1;372,2132990638568;13,99606328068472;0,2086;Base
131;D-E;cerrado;6;Punto 6;-9952,6;-151,8;-416,6;372,2954069015627;17,71901734970035;0,2086;Base
132;D-E;cerrado;7;Punto 7;-9596,7;-159,3;-525,4;372,2344691185916;21,44136204088627;0,2086;Base
133;D-E;cerrado;8;Punto 8;-9367,8;-172,9;-480,0;233,7548502170611;23,77891054305688;0,2086;Base
134;D-E;cerrado;9;Punto 9;-9093,2;-176,1;-303,0;326,717615074546;27,04608669380234;0,2086;Base
135;D-E;cerrado;10;Punto 10;-8906,0;-189,6;-31,8;329,8113551714075;30,34420024551642;0,2086;Base
136;D-E;cerrado;11;Punto 11;-8839,3;-193,9;354,7;392,2367014954109;34,26656726047052;0,2086;Base
137;D-E;cerrado;12;Punto 12;-8937,8;-196,3;692,9;352,2602021233736;37,78916928170426;0,2086;Base
138;D-E;cerrado;13;Punto 13;-9198,8;-190,5;986,9;393,1801622666129;41,72097090437039;0,2086;Base
139;D-E;cerrado;14;Punto 14;-9498,4;-193,6;1116,9;326,6033833260155;44,98700473763054;0,2086;Base
140;D-E;cerrado;15;Punto 15;-9824,9;-196,7;1122,3;326,5593667313801;48,25259840494434;0,2086;Base
141;D-E;cerrado;16;Punto 16;-10128,6;-199,9;1002,4;326,5270892284443;51,51786929722878;0,2086;Base
142;D-E;cerrado;17;Punto 17;-10363,4;-203,0;775,4;326,6031996169046;54,78390129339783;0,2086;Base
143;D-E;cerrado;18;Punto 18;-10493,4;-206,1;475,9;326,5116536970771;58,04901783036861;0,2086;Base
144;D-E;cerrado;19;Punto 19;-10498,9;-209,2;149,3;326,6610169579467;61,31562799994807;0,2086;Base
145;D-E;cerrado;20;Punto 20;-10379,0;-212,4;-154,4;326,5270892284436;64,58089889223251;0,2086;Base
146;D-E;cerrado;21;Punto 21;-10152,0;-215,5;-389,2;326,6031996169052;67,84693088840156;0,2086;Base
147;D-E;cerrado;22;Punto 22;-9852,4;-218,6;-519,2;326,6033833260155;71,11296472166171;0,2086;Base
148;D-E;cerrado;23;Punto 23;-9525,7;-221,7;-524,7;326,7609982846779;74,38057470450849;0,2086;Base
149;D-E;cerrado;24;Punto 24;-9221,9;-224,9;-404,7;326,6568229809392;77,64714293431788;0,2086;Base
150;D-E;cerrado;25;Punto 25;-8987,2;-228,0;-177,7;326,5313154966909;80,91245608928479;0,2086;Base
151;D-E;cerrado;26;Punto 26;-8846,2;-231,2;174,6;379,4819231531325;84,70727532081611;0,2086;Base
152;D-E;cerrado;27;Punto 27;-8870,4;-233,9;525,9;352,1428971312639;88,22870429212875;0,2086;Base
153;D-E;cerrado;28;Punto 28;-9061,3;-238,0;868,0;391,7805891056879;92,14651018318563;0,2086;Base
154;D-E;cerrado;29;Punto 29;-9342,1;-241,5;1067,0;344,1829310119847;95,58833949330547;0,2086;Base
155;D-E;cerrado;30;Punto 30;-9661,5;-245,0;1136,0;326,7867959388809;98,85620745269428;0,2086;Base
156;D-E;cerrado;31;Punto 31;-9982,9;-247,9;1077,6;326,6755730078388;102,1229631827727;0,2086;Base
157;D-E;cerrado;32;Punto 32;-10257,5;-251,0;900,6;326,7166509377815;105,3901296921505;0,2086;Base
158;D-E;cerrado;33;Punto 33;-10443,5;-254,2;632,0;326,7295517702677;108,6574252098532;0,2086;Base
159;D-E;cerrado;34;Punto 34;-10512,5;-257,3;312,7;326,685016491421;111,9242753747674;0,2086;Base
160;D-E;cerrado;35;Punto 35;-10454,1;-260,4;-8,7;326,6774096872937;115,1910494716403;0,2086;Base
161;D-E;cerrado;36;Punto 36;-10277,1;-263,5;-283,3;326,7166509377813;118,4582159810181;0,2086;Base
162;D-E;cerrado;37;Punto 37;-10008,5;-266,6;-469,3;326,7285876687257;121,7255018577054;0,2086;Base
163;D-E;cerrado;38;Punto 38;-9689,2;-269,8;-538,4;326,707116543242;124,9925730231378;0,2086;Base
164;D-E;cerrado;39;Punto 39;-9367,8;-272,9;-480,0;326,6774096872952;128,2593471200107;0,2086;Base
165;D-E;cerrado;40;Punto 40;-9093,2;-276,1;-303,0;326,717615074546;131,5265232707562;0,2086;Base
166;D-E;cerrado;41;Punto 41;-8906,0;-279,6;-31,8;329,5535313116828;134,822058583873;0,2086;Base
167;D-E;cerrado;42;Punto 42;-8839,3;-283,9;354,7;392,2367014954109;138,7444255988271;0,2086;Base
168;D-E;cerrado;43;Punto 43;-8937,8;-286,3;692,9;352,2602021233736;142,2670276200609;0,2086;Base
169;D-E;cerrado;44;Punto 44;-9198,8;-290,5;986,9;393,1598148336119;146,198625768397;0,2086;Base
170;D-E;cerrado;45;Punto 45;-9498,4;-293,6;1116,9;326,6033833260155;149,4646596016572;0,2086;Base
171;D-E;cerrado;46;Punto 46;-9824,9;-296,7;1122,3;326,5593667313801;152,730253268971;0,2086;Base
172;D-E;cerrado;47;Punto 47;-10128,6;-299,9;1002,4;326,5270892284443;155,9955241612554;0,2086;Base
173;D-E;cerrado;48;Punto 48;-10363,4;-303,0;775,4;326,6031996169046;159,2615561574244;0,2086;Base
174;D-E;cerrado;49;Punto 49;-10493,4;-306,1;475,9;326,5116536970771;162,5266726943952;0,2086;Base
175;D-E;cerrado;50;Punto 50;-10498,9;-309,2;149,3;326,6610169579467;165,7932828639747;0,2086;Base
176;D-E;cerrado;51;Punto 51;-10379,0;-312,4;-154,4;326,5270892284436;169,0585537562591;0,2086;Base
177;D-E;cerrado;52;Punto 52;-10152,0;-315,5;-389,2;326,6031996169052;172,3245857524282;0,2086;Base
178;D-E;cerrado;53;Punto 53;-9852,4;-318,6;-519,2;326,6033833260155;175,5906195856883;0,2086;Base
179;D-E;cerrado;54;Punto 54;-9525,7;-321,7;-524,7;326,7609982846779;178,8582295685351;0,2086;Base
180;D-E;cerrado;55;Punto 55;-9221,9;-324,9;-404,7;326,6568229809392;182,1247977983445;0,2086;Base
181;D-E;cerrado;56;Punto 56;-8987,2;-328,0;-177,7;326,5313154966909;185,3901109533114;0,2086;Base
182;D-E;cerrado;57;Punto 57;-8846,2;-331,2;174,6;379,4819231531325;189,1849301848428;0,2086;Base
183;D-E;cerrado;58;Punto 58;-8870,4;-333,9;525,9;352,1428971312639;192,7063591561554;0,2086;Base
184;D-E;cerrado;59;Punto 59;-9061,3;-338,0;868,0;391,7805891056879;196,6241650472123;0,2086;Base
185;D-E;cerrado;60;Punto 60;-9342,1;-341,5;1067,0;344,1829310119847;200,0659943573321;0,2086;Base
186;D-E;cerrado;61;Punto 61;-9661,5;-345,0;1136,0;326,7867959388809;203,3338623167209;0,2086;Base
187;D-E;cerrado;62;Punto 62;-9982,9;-347,9;1077,6;326,6755730078388;206,6006180467993;0,2086;Base
188;D-E;cerrado;63;Punto 63;-10257,5;-351,0;900,6;326,7166509377815;209,8677845561771;0,2086;Base
